pokefuta_id,prefecture,city,location,address,name,lat,lng,officialUrl
91,福島県,浪江町,道の駅なみえ,福島県浪江町大字幾世橋字知命寺60（道の駅なみえ敷地内）,ラッキー,37.496395,141.000919,https://local.pokemon.jp/manhole/desc/91/
92,福島県,楢葉町,木戸駅周辺,福島県楢葉町大字山田岡字大堤入22-1,ラッキー・ヒバニー,37.2501442,140.9975789,https://local.pokemon.jp/manhole/desc/92/
93,福島県,いわき市,四倉町周辺,福島県いわき市四倉町字5-218-1,ラッキー・キレイハナ,37.1073084,140.9932743,https://local.pokemon.jp/manhole/desc/93/
94,福島県,川俣町,鶴沢周辺,福島県川俣町大字鶴沢字東13-1,ラッキー・キルリア・サーナイト,37.667671,140.57675,https://local.pokemon.jp/manhole/desc/94/
95,福島県,田村市,滝根町周辺,福島県田村市滝根町菅谷字東釜山1,ラッキー・ヘラクロス,37.344423,140.674289,https://local.pokemon.jp/manhole/desc/95/
96,福島県,川内村,下川内周辺,福島県川内村大字下川内字宮ノ下25-1,ラッキー・サンド・ニャオハ,37.329458,140.82162,https://local.pokemon.jp/manhole/desc/96/
247,福島県,福島市,大笹生周辺,福島県福島市大笹生字月崎1-1,ラッキー・ウミディグダ,37.80441,140.41091,https://local.pokemon.jp/manhole/desc/247/
248,福島県,会津若松市,会津総合運動公園,福島県会津若松市門田町大字堤沢村上164 会津総合運動公園内,ラッキー・エルレイド,37.461098,139.927545,https://local.pokemon.jp/manhole/desc/248/
249,福島県,郡山市,開成周辺,福島県郡山市開成1丁目5,ラッキー・プリン,37.396784,140.35612,https://local.pokemon.jp/manhole/desc/249/
250,福島県,南会津町,田島周辺,福島県南会津町田島字宮本東33番地1,ラッキー・ガブリアス,37.2057204,139.7778739,https://local.pokemon.jp/manhole/desc/250/
251,福島県,柳津町,柳津周辺,福島県柳津町大字柳津字下平乙161番地1,ラッキー・ヒメンカ,37.528189,139.722662,https://local.pokemon.jp/manhole/desc/251/
252,福島県,昭和村,佐倉周辺,福島県昭和村大字佐倉字上ノ原1番地,ラッキー・ヤンチャム,37.325691,139.630641,https://local.pokemon.jp/manhole/desc/252/
253,福島県,双葉町,中野周辺,福島県双葉町大字中野字高田1番地1,ラッキー・タマタマ,37.45745,141.02692,https://local.pokemon.jp/manhole/desc/253/
254,福島県,飯舘村,深谷周辺,福島県飯舘村深谷字深谷前11-1,ラッキー・アマカジ,37.698145,140.735552,https://local.pokemon.jp/manhole/desc/254/
279,福島県,二本松市,安達ヶ原周辺,福島県二本松市安達ヶ原四丁目100番地,ラッキー・チラーミィ,37.593347,140.464001,https://local.pokemon.jp/manhole/desc/279/
280,福島県,伊達市,霊山町周辺,福島県伊達市霊山町石田字中沢19-1,ラッキー・サルノリ,37.760799,140.691402,https://local.pokemon.jp/manhole/desc/280/
281,福島県,北塩原村,桧原周辺,福島県北塩原村大字桧原字剣ヶ峯1093-1055,ラッキー・バニプッチ,37.656148,140.089446,https://local.pokemon.jp/manhole/desc/281/
282,福島県,猪苗代町,五百苅周辺,福島県猪苗代町大字堅田字五百苅1番地,ラッキー・ゴマゾウ・クマシュン,37.538088,140.107569,https://local.pokemon.jp/manhole/desc/282/
283,福島県,会津美里町,宮林周辺,福島県会津美里町字宮林甲4377番地1,ラッキー・リリーラ,37.455169,139.840297,https://local.pokemon.jp/manhole/desc/283/
284,福島県,西郷村,熊倉周辺,福島県西郷村大字熊倉字折口原146,ラッキー・ウリムー,37.1399,140.15467,https://local.pokemon.jp/manhole/desc/284/
285,福島県,矢吹町,大池周辺,福島県矢吹町大池145,ラッキー・ファイアロー,37.21842,140.335635,https://local.pokemon.jp/manhole/desc/285/
286,福島県,古殿町,田口周辺,福島県古殿町大字田口字平舘25番地,ラッキー・アブソル,37.092891,140.529308,https://local.pokemon.jp/manhole/desc/286/
287,福島県,三春町,北町周辺,福島県三春町字北町10,ラッキー・ロゼリア,37.4433,140.49124,https://local.pokemon.jp/manhole/desc/287/
369,福島県,会津坂下町,西南町裏周辺,福島県会津坂下町字西南町裏甲3998番地2,ラッキー・ワンリキー,37.56046,139.821186,https://local.pokemon.jp/manhole/desc/369/
370,福島県,鏡石町,中央周辺,福島県鏡石町中央245番地,ラッキー・アーボック・イワンコ,37.251117,140.347153,https://local.pokemon.jp/manhole/desc/370/
371,福島県,棚倉町,棚倉城跡周辺,福島県棚倉町大字棚倉字城跡33-7の先,ラッキー・ウパー・ブロロローム,37.029237,140.387151,https://local.pokemon.jp/manhole/desc/371/
372,福島県,湯川村,佐野目周辺,福島県湯川村大字佐野目字五丁ノ目78-1,ラッキー・ヒマナッツ・ラルトス,37.55742,139.862167,https://local.pokemon.jp/manhole/desc/372/
373,福島県,国見町,藤田周辺,福島県国見町大字藤田字日渡二18-1,ラッキー・ヒメグマ・ハヤシガメ・ヒトモシ,37.872639,140.546861,https://local.pokemon.jp/manhole/desc/373/
374,福島県,広野町,下北迫周辺,福島県広野町大字下北迫字大谷地原74-1,ラッキー・ヤミカラス,37.23297,141.0018,https://local.pokemon.jp/manhole/desc/374/
375,福島県,平田村,蓬田岳周辺,福島県平田村大字蓬田新田字蓬田岳437,ラッキー・カプサイジ・スコヴィラン,37.262128,140.547538,https://local.pokemon.jp/manhole/desc/375/
376,福島県,白河市,郭内周辺,福島県白河市郭内,ラッキー・ダルマッカ,37.1296,140.212974,https://local.pokemon.jp/manhole/desc/376/
454,福島県,須賀川市,愛宕山周辺,福島県須賀川市愛宕山5,ラッキー・テールナー,37.291536,140.382947,https://local.pokemon.jp/manhole/desc/454/
455,福島県,天栄村,大里周辺,福島県天栄村大字大里字天房41-2,ラッキー・ホゲータ,37.243406,140.243722,https://local.pokemon.jp/manhole/desc/455/
456,福島県,下郷町,南倉沢周辺,福島県下郷町大字南倉沢字木賊844番地188,ラッキー・カブトプス・カモネギ・チリーン,37.203534,139.916146,https://local.pokemon.jp/manhole/desc/456/
457,福島県,西会津町,野沢周辺,福島県西会津町野沢字下條乙1969-26,ラッキー・マホイップ・ピッピ,37.585568,139.642677,https://local.pokemon.jp/manhole/desc/457/
458,福島県,泉崎村,泉崎周辺,福島県泉崎村泉崎笹立山12-7,ラッキー・アサナン・コルヴィナイト,37.157384,140.314605,https://local.pokemon.jp/manhole/desc/458/
459,福島県,鮫川村,赤阪中野周辺,福島県鮫川村大字赤阪中野字巡ヶ作116番地,ラッキー・ヌメラ・ヤンヤンマ,37.040242,140.50677,https://local.pokemon.jp/manhole/desc/459/
460,福島県,浅川町,磐城浅川駅前広場,福島県浅川町本町西裏（JR磐城浅川駅前広場）,ラッキー・ヒメンカ・ヤブクロン,37.0802942,140.4146001,https://local.pokemon.jp/manhole/desc/460/
461,福島県,小野町,小野新町周辺,福島県小野町大字小野新町字中通2,ラッキー・チュリネ・ハッサム,37.279216,140.633912,https://local.pokemon.jp/manhole/desc/461/
462,福島県,大熊町,下野上周辺,福島県大熊町下野上大野116-5,ラッキー・ブースター・カビゴン・イーブイ,37.4099576,140.983206,https://local.pokemon.jp/manhole/desc/462/
